,2014x,2014y,2015x,2015y,2016x,2016y,2017x,2017y,2018x,2018y,2019x,2019y,2020x,2020y,2021x,2021y
139,3937,4928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,3949,6542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,4005,3291,3941,3278,3881,3229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
142,4025,969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,4039,1845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,4045,3001,3983,2979,3917,2922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,4047,2053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,4067,4790,4025,4842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,4069,8810,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
148,4087,5858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,4105,2501,4035,2514,3985,2475,4023,2449,-1,-1,-1,-1,-1,-1,-1,-1
150,4109,3950,4055,3990,3993,3934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,4119,6744,4105,6742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,4125,8548,4025,8574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153,4127,6624,4103,6620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,4129,2374,4065,2390,4013,2361,4023,2449,-1,-1,-1,-1,-1,-1,-1,-1
155,4169,12828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,4201,5818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
157,4205,6501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,4241,7214,4242,7206,4141,7142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,4251,2612,4197,2614,4139,2561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,4251,5896,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
161,4295,4270,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,4311,8823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,4335,8794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
164,4341,12992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,4347,4174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,4418,1289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
167,4423,9330,4453,9312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,4429,8312,4357,8266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,4437,2746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,4445,4470,4393,4498,4331,4434,4350,4530,-1,-1,-1,-1,-1,-1,-1,-1
171,4465,1876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
172,4467,3118,4434,3101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,4490,1617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,4498,2801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
175,4503,3443,4459,3402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
176,4518,1757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,4543,7946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,4553,8756,4581,8732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,4565,3928,4539,3929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,4567,3782,4542,3766,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,4642,12882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,4645,13284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
183,4650,2550,4586,2549,4530,2493,4538,2585,-1,-1,-1,-1,-1,-1,-1,-1
184,4651,7726,4675,7722,4581,7678,4617,7758,-1,-1,-1,-1,-1,-1,-1,-1
185,4681,4490,4625,4502,4563,4430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,4695,3434,4659,3406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,4697,4226,4638,4242,4575,4174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
188,4746,8574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,4757,8766,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,4781,4624,4742,4646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,4783,6649,4681,6648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,4785,3494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
193,4842,2229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
194,4857,1554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,4889,3113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
196,4902,3785,4869,3766,4806,3726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
197,4925,3428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
198,4935,3356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
199,4959,1458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,4959,3149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,4997,3460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,4999,10514,5014,10498,4950,10450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
203,5011,4307,4959,4310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
204,5015,7326,5027,7310,4943,7254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205,5022,3590,4987,3560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,5040,4620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
207,5045,5828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
208,5059,3748,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,5122,5774,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,5147,3234,5110,3189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
211,5153,4574,5111,4598,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,5170,3968,5158,3946,5078,3890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213,5177,5445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
214,5231,5357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
