,./mask/201408ddyw.tif,./mask/201508ddyw.tif,./mask/20151017sp.tif,./mask/20160907.tif,./mask/20161025.tif,./mask/20170714.tif,./mask/20170728.tif,./mask/20171002.tif,./mask/20180729.tif,./mask/20180828.tif,./mask/20180926.tif,./mask/20190828.tif,./mask/20190923.tif,./mask/20200727.tif,./mask/20210717.tif
211,3804,8312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,3750,11320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213,3924,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
214,3871,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
215,7280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,4225,11352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
217,2259,5784,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
218,5224,14838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
219,3103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,2823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
221,2684,4791,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
222,5600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
223,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,4683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,5505,18207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
226,3914,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
227,8276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,3256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
229,4284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
230,1769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
231,3241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
232,4479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,2219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
234,5355,14202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235,4365,2965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236,5711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
237,2161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
238,3062,9434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
239,13063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,8179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
241,5943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
242,5725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
243,246,5237,4886,13315,14095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
245,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
246,4796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
247,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
248,2711,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,5729,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
251,552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
252,4714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253,12906,19261,17752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
254,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,3055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
256,4755,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,1256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
258,7227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
259,805,7321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,4538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261,18891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
262,2857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
263,3921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
264,1725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
265,1779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
